state_ut,district_name,intervention,rank,ev_score,expected_access_gain,est_cost_tier,confidence,p_addresses_need,p_wrong,benefit,trigger_signals,rationale,not_recommended_flag,not_recommended_reason
Odisha,Kendujhar,Verify-first data / records campaign,1,0.37,19.0,Low,Low,0.575,0.75,0.847,"planning_category=real_desert_candidate | needs_human_review_rate=100% | critical_supply_gap_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), wide supply CI (0-79%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Odisha,Kendujhar,PM-JAY / insurance enrollment support,2,0.2897,19.9,Low,Low,0.562,0.75,0.908,"hh_health_insurance_pct=43% | planning_category=real_desert_candidate | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), wide supply CI (0-79%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Odisha,Kendujhar,Community health worker outreach,3,0.1522,17.4,Medium,Low,0.525,0.75,0.847,"needs_human_review_rate=100% | contact_evidence_rate=100% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), wide supply CI (0-79%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Odisha,Kendujhar,Mobile primary care clinic,4,0.1412,29.0,High,Low,0.79,0.75,0.938,"planning_category=real_desert_candidate | trustworthy_supply_rate=0% | capacity_observed_rate=100% | observed_capacity_median=92 | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), wide supply CI (0-79%)","Genuine unmet need with little trustworthy, observed supply — physical capacity, not just data, appears to be missing.",False,
Odisha,Kendujhar,Pharmacy-based chronic care screening,5,-0.0675,7.8,Low-Medium,Low,0.376,0.75,0.53,"high_bp_pct=25% | high_blood_sugar_pct=14% | ncd_signal_rate=100% | diagnostic_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), wide supply CI (0-79%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
Odisha,Kendujhar,OB referral network + prenatal telehealth & transport,6,-0.1513,11.8,Medium-High,Low,0.453,0.75,0.67,"institutional_birth_5y_pct=80% | anaemia_w15_49_pct=69% | maternity_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), wide supply CI (0-79%)","Maternal-care gap: institutional births are low and anaemia burden high, while observed maternity supply signal is thin. The telehealth leg is a PROXY for prenatal monitoring (broadband not in dataset) — pair with transport.",False,
Odisha,Kendujhar,Telehealth-first program,7,0.2243,19.3,Low,Low,0.43,0.9,1.303,"trustworthy_supply_rate=0% | broadband_coverage=NOT IN DATASET (cannot confirm telehealth viability) | elderly_share=NOT IN DATASET (only population_below_age_15_years_pct exists) | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), wide supply CI (0-79%)","Telehealth-first is a LOW-confidence default: the dataset has no broadband or elderly-share columns, so the doc's penalty for low-broadband/elderly areas cannot be evaluated. Prefer mobile care or CHW outreach unless connectivity is separately confirmed.",True,"Not recommended: viability signals (broadband, elderly share) are absent from the dataset and local evidence is weak — do not lead with telehealth."
Odisha,Rayagada,PM-JAY / insurance enrollment support,1,0.4055,26.0,Low,Low,0.7,0.63,0.869,"hh_health_insurance_pct=46% | planning_category=referral_or_capacity_candidate | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (21-100%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Odisha,Rayagada,Verify-first data / records campaign,2,0.0241,5.7,Low,Low,0.35,0.63,0.382,"planning_category=referral_or_capacity_candidate | needs_human_review_rate=0% | critical_supply_gap_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (21-100%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Odisha,Rayagada,Pharmacy-based chronic care screening,3,-0.0537,8.2,Low-Medium,Low,0.373,0.63,0.513,"high_bp_pct=22% | high_blood_sugar_pct=14% | ncd_signal_rate=0% | diagnostic_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (21-100%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
