column,dtype,non_null_rows,description
state_ut,object,494,
district_name,object,494,
dataset_grain,object,494,
observed_facility_rows,int64,494,Number of FDR facility rows joined into this district. This is not a verified facility census.
unique_facility_ids,int64,494,
unique_pincodes_observed,int64,494,
observed_facility_count_percentile,float64,494,
health_need_score,float64,494,Percentile composite over adverse NFHS district indicators.
district_medical_desert_priority_score,float64,494,Proxy score: high health need plus low observed FDR facility count percentile.
care_gap_score,float64,494,
trust_gap_score,float64,494,
best_care_signal_score,float64,494,
planning_category,object,494,
district_data_quality_score,float64,494,"Composite quality score from readiness, join confidence, geography, source URLs, and review rate."
district_uncertainty_level,object,494,Lower/medium/higher uncertainty based on district quality score and observed row count.
avg_join_confidence,float64,494,
avg_data_readiness_score,float64,494,
median_data_readiness_score,float64,494,
exact_join_rows,int64,494,
fuzzy_join_rows,int64,494,
city_fallback_rows,int64,494,
exact_join_rate,float64,494,Share of facility rows that joined through exact pincode district/state match.
exact_join_rate_ci_low,float64,494,
exact_join_rate_ci_high,float64,494,
pincode_ambiguous_rows,int64,494,
pincode_ambiguity_rate,float64,494,
needs_human_review_rows,int64,494,
needs_human_review_rate,float64,494,Share of facility rows in the district flagged for human review.
needs_human_review_rate_ci_low,float64,494,
needs_human_review_rate_ci_high,float64,494,
plausible_geo_rows,int64,494,
plausible_geo_rate,float64,494,Share of facility rows with plausible India coordinates and pincode centroid distance.
plausible_geo_rate_ci_low,float64,494,
plausible_geo_rate_ci_high,float64,494,
far_geo_rows,int64,494,
source_url_rows,int64,494,
source_url_rate,float64,494,Share of facility rows with source URLs for evidence citation.
source_url_rate_ci_low,float64,494,
source_url_rate_ci_high,float64,494,
contact_evidence_rows,int64,494,
contact_evidence_rate,float64,494,
trustworthy_supply_rows,int64,494,
trustworthy_supply_rate,float64,494,
trustworthy_supply_rate_ci_low,float64,494,
trustworthy_supply_rate_ci_high,float64,494,
contradicted_or_geo_invalid_rows,int64,494,
contradicted_or_geo_invalid_rate,float64,494,
maternity_signal_rows,int64,494,
maternity_signal_rate,float64,494,
emergency_signal_rows,int64,494,
emergency_signal_rate,float64,494,
diagnostic_signal_rows,int64,494,
diagnostic_signal_rate,float64,494,
ncd_signal_rows,int64,494,
ncd_signal_rate,float64,494,
description_rate,float64,494,
procedure_rate,float64,494,
equipment_rate,float64,494,
capability_rate,float64,494,
parsed_capacity_rows,int64,494,
capacity_parse_rate,float64,494,Share of facility rows where capacity could be parsed into a number.
observed_capacity_sum,float64,494,
observed_capacity_median,float64,370,
observed_capacity_p95,float64,370,
observed_capacity_max,float64,370,
parsed_doctor_rows,int64,494,
doctor_parse_rate,float64,494,Share of facility rows where numberDoctors could be parsed into a number.
observed_doctors_sum,float64,494,
observed_doctors_median,float64,349,
observed_doctors_p95,float64,349,
observed_doctors_max,float64,349,
median_followers,float64,487,
p95_followers,float64,487,
predominant_geo_quality,object,494,
predominant_join_uncertainty,object,494,
sample_facility_names,object,494,
sample_claim_evidence,object,494,Small sample of raw extracted claim text from facility rows in the district.
sample_source_urls,object,494,
facility_supply_warning,object,494,Reminder that observed FDR counts are not a ground-truth supply registry.
households_surveyed,float64,494,
women_15_49_interviewed,float64,494,
men_15_54_interviewed,float64,494,
population_below_age_15_years_pct,float64,494,
hh_member_covered_health_insurance_pct,float64,494,
women_age_15_49_who_are_literate_pct,float64,494,
women_age_15_49_with_10_or_more_years_of_schooling_pct,float64,494,
institutional_birth_5y_pct,float64,494,
institutional_birth_in_public_facility_5y_pct,float64,494,
births_attended_by_skilled_hp_5y_10_pct,float64,494,
births_delivered_by_csection_5y_pct,float64,494,
all_w15_49_who_are_anaemic_pct,float64,494,
w15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,float64,494,
m15_plus_with_high_bp_sys_gte_140_mmhg_and_or_dia_gte_90_mm_pct,float64,494,
w15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,float64,494,
m15_plus_with_high_or_very_high_gt_140_mg_dl_blood_sugar_or_pct,float64,494,
women_age_30_49_years_ever_undergone_a_cervical_screen_pct,float64,494,
women_age_30_49_years_ever_undergone_a_breast_exam_pct,float64,494,
women_age_30_49_years_ever_undergone_an_oral_cancer_exam_pct,float64,494,
